codigo_ocorrencia,classificacao,tipo,tipo_categoria,tipo_icao,latitude,longitude,cidade,ocorrencia_uf,ocorrencia_pais,aerodromo,data,status,relatorio_numero,divulgacao_relatorio_publicado,total_recomendacoes,aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao
201712311515581,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-30.9031,-54.995,Dom Pedrito,RS,BRASIL,****,2017-12-30 16:45:00,Ativa,A-170/CENIPA/2017,NÃO,0,1,NÃO,2018-08-28
201403267285420,Acidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-31.1553,-54.5108,Dom Pedrito,RS,BRASIL,****,2014-03-26 21:45:00,Finalizada, A-064CENIPA2014 ,SIM,1,1,NÃO,2018-08-28
201404222764569,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-30.9813,-54.6741,Dom Pedrito,RS,BRASIL,****,2014-04-22 13:00:00,Finalizada,A-081/CENIPA/2014,SIM,0,1,NÃO,2018-08-28
201301073246697,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-22.1893,-55.5703,Ponta Porã,MS,BRASIL,SBPP,2013-01-07 16:33:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201710251153192,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-22.6239,-55.5689,Ponta Porã,MS,BRASIL,SWGC,2017-10-20 18:45:00,Finalizada,A-132/CENIPA/2017,SIM,0,1,SIM,2018-08-28
200901124394928,Incidente Grave,Causado Por Fenômeno Meteorológico Em Voo,Outros,OTHR,-22.1893,-55.5703,Ponta Porã,MS,BRASIL,****,2009-01-12 14:37:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
201304145206964,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-22.1893,-55.5703,Ponta Porã,MS,BRASIL,SBPP,2013-04-14 14:20:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201303222137032,Incidente Grave,Pouso Brusco,Contato Anormal Com A Pista,ARC,-23.570999999999998,-46.0412,Biritiba-Mirim,SP,BRASIL,SDIH,2013-03-22 18:45:00,Finalizada,IG-057/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
201301189053732,Incidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-23.570999999999998,-46.0412,Biritiba-Mirim,SP,BRASIL,SDIH,2013-01-18 18:10:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201308303505612,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-3.6625,-44.5381,Matões Do Norte,MA,BRASIL,****,2013-08-30 15:55:00,Ativa,A-154/CENIPA/2013,NÃO,0,1,NÃO,2018-08-28
201304182311679,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-21.9181,-48.2906,Boa Esperança Do Sul,SP,BRASIL,****,2013-04-18 20:35:00,Finalizada,A-071/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
201708032126011,Acidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-9.3353,-50.3503,Santana Do Araguaia,PA,BRASIL,****,2017-08-01 21:00:00,Finalizada,A-098/CENIPA/2017,SIM,0,1,SIM,2018-08-28
201701161542418,Acidente,Operação A Baixa Altitude,Operação A Baixa Altitude,LALT,-9.2267,-51.2511,Santana Do Araguaia,PA,BRASIL,****,2017-01-14 13:00:00,Finalizada,A-011/CENIPA/2017,SIM,0,1,NÃO,2018-08-28
200908074009747,Incidente,Pouso Sem Trem,Contato Anormal Com A Pista,ARC,-9.3294,-50.3448,Santana Do Araguaia,PA,BRASIL,SNKE,2009-08-07 20:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201210289576749,Incidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-9.3294,-50.3448,Santana Do Araguaia,PA,BRASIL,SNKE,2012-10-28 11:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201804031711103,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-9.2283,-50.9317,Santana Do Araguaia,PA,BRASIL,****,2018-04-03 11:15:00,Ativa,A-059/CENIPA/2018,NÃO,0,1,NÃO,2018-08-28
201001235077117,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-15.2403,-59.3542,Pontes E Lacerda,MT,BRASIL,****,2010-01-23 13:00:00,Finalizada,A-010/CENIPA/2011,SIM,2,1,NÃO,2018-08-28
201301238458058,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-15.2308,-59.3406,Pontes E Lacerda,MT,BRASIL,****,2013-01-23 21:50:00,Finalizada,A-014/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
201111054529496,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-29.9993,-51.3104,Eldorado Do Sul,RS,BRASIL,****,2011-11-05 17:45:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201303195864110,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-29.9993,-51.3104,Eldorado Do Sul,RS,BRASIL,SIXE,2013-03-19 15:17:00,Finalizada,A-056/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
201012085384348,Incidente Grave,Com Trem De Pouso,Problema Sistema,SCF-NP,-30.0503,-56.4436,Eldorado Do Sul,RS,BRASIL,SIXE,2010-12-08 15:40:00,Finalizada,IG-521/CENIPA/2015,SIM,0,1,NÃO,2018-08-28
201307171756483,Incidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-29.9993,-51.3104,Eldorado Do Sul,RS,BRASIL,SIXE,2013-07-17 19:09:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201804111944179,Acidente,Pouso Brusco,Contato Anormal Com A Pista,ARC,-30.05,-51.4489,Eldorado Do Sul,RS,BRASIL,SIXE,2018-04-11 12:45:00,Ativa,A-068/CENIPA/2018,NÃO,0,1,NÃO,2018-08-28
201410222406097,Acidente,Outros,Outros,OTHR,-29.9993,-51.3104,Eldorado Do Sul,RS,BRASIL,SIXE,2014-10-22 13:20:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200812042545424,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-30.0472,-51.4583,Eldorado Do Sul,RS,BRASIL,SIXE,2008-12-04 17:40:00,Finalizada,A-010/CENIPA/2014,SIM,2,1,NÃO,2018-08-28
201808212209524,Acidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-30.0503,-51.4481,Eldorado Do Sul,RS,BRASIL,SIXE,2018-08-21 17:30:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
201308306109959,Incidente,Outros,Outros,OTHR,-29.9993,-51.3104,Eldorado Do Sul,RS,BRASIL,****,2013-08-30 19:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201610100925417,Acidente,Pouso Brusco,Contato Anormal Com A Pista,ARC,-30.0503,-51.4436,Eldorado Do Sul,RS,BRASIL,SIXE,2016-09-24 15:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200807133436677,Incidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-29.9993,-51.3104,Eldorado Do Sul,RS,BRASIL,SIXE,2008-07-13 15:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201307095395339,Acidente,Pouso Sem Trem,Contato Anormal Com A Pista,ARC,-30.0503,-51.4436,Eldorado Do Sul,RS,BRASIL,SIXE,2013-07-09 14:32:00,Finalizada,A-128/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
200811051766897,Acidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-30.1011,-51.4467,Eldorado Do Sul,RS,BRASIL,****,2008-11-05 12:15:00,Finalizada,A-015/CENIPA/2010,SIM,3,1,NÃO,2018-08-28
201704101410474,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-10.94,-51.7558,Porto Alegre Do Norte,MT,BRASIL,SWPQ,2017-03-13 17:30:00,Ativa,A-064/CENIPA/2017,NÃO,0,1,NÃO,2018-08-28
201612071428063,Acidente,Pouso Em Local Não Previsto,Outros,OTHR,-26.0192,-51.3517,Cruz Machado,PR,BRASIL,****,2016-12-05 14:15:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201803191030247,Incidente Grave,Operação A Baixa Altitude,Operação A Baixa Altitude,LALT,-7.8444,-34.8914,Igarassu,PE,BRASIL,SIFC,2018-03-18 18:45:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201505167662272,Incidente,Pouso Longo,Excursão De Pista,RE,-7.8444,-34.8914,Igarassu,PE,BRASIL,SIFC,2015-05-16 12:28:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
